대계열,중계열,소계열,학과수,재적학생수,재학생,휴학생,학사학위취득유예생,학년별 재적학생수,1학년,2학년,3학년,4학년
예체능계열,디자인,시각디자인,86,11899,8994,2692,213,11899,2093,2908,3457,3441
예체능계열,디자인,패션디자인,68,8914,6816,1972,126,8914,1944,2260,2275,2435
예체능계열,디자인,기타디자인,206,21713,16240,5120,353,21713,4333,5735,5472,6116
예체능계열,응용예술,공예,32,4542,3608,849,85,4542,1019,1106,1103,1314
예체능계열,응용예술,사진ㆍ만화,60,6523,4861,1639,23,6523,1559,1808,1542,1614
예체능계열,응용예술,영상ㆍ예술,165,19365,15409,3837,119,19365,4538,4866,4739,5222
예체능계열,무용ㆍ체육,무용,49,4148,3644,499,5,4148,904,985,976,1283
예체능계열,무용ㆍ체육,체육,392,52580,36513,15952,115,52580,11996,15253,13271,12060
예체능계열,미술ㆍ조형,순수미술,103,11863,9483,2274,106,11863,2563,2763,2974,3563
예체능계열,미술ㆍ조형,응용미술,16,2250,1735,487,28,2250,480,597,556,617
예체능계열,미술ㆍ조형,조형,28,2613,2059,524,30,2613,601,610,630,772
예체능계열,연극ㆍ영화,연극ㆍ영화,105,12047,8767,3253,27,12047,2625,3096,3141,3185
예체능계열,음악,음악학,68,7893,6305,1581,7,7893,1998,1889,1908,2098
예체능계열,음악,국악,20,1985,1631,339,15,1985,450,454,495,586
예체능계열,음악,기악,67,7121,5933,1168,20,7121,1626,1640,1773,2082
예체능계열,음악,성악,29,2735,2117,611,7,2735,693,645,647,750
예체능계열,음악,작곡,25,1567,1159,390,18,1567,352,362,401,452
예체능계열,음악,기타음악,79,7344,5349,1988,7,7344,1833,1899,1881,1731
